FCC_names,ProviderName
"CenturyLink, Inc.","CenturyLink, Inc."
"Level  3 Communications, LLC","Level 3 Communications, LLC"
Verizon New York Inc.,Verizon
Verizon Pennsylvania LLC,Verizon
Verizon California Inc.,Verizon
Verizon New Jersey Inc.,Verizon
Verizon New England Inc.,Verizon
Verizon Virginia LLC,Verizon
Verizon Maryland LLC,Verizon
Verizon Florida LLC,Verizon
Verizon Delaware LLC,Verizon
"Verizon Washington, DC Inc.",Verizon
"XO Communications Services, LLC","XO Communications Services, LLC"
Time Warner Cable Inc.,Time Warner Cable Inc.
Charter Communications,Charter Communications
"Bright House Networks, LLC","Bright House Networks, LLC"
Frontier Communications Corporation,Frontier Communications Corporation
"AT&T Services, Inc.","AT&T Services, Inc."
DirecTV,DirecTV